1641245598.1705835, 49.634586360, 8.631464715, 149.4713
1641245598.4200294, 49.634586373, 8.631464735, 149.4687
1641245599.2072706, 49.634600147, 8.631462824, 152.4008
1641245600.105454, 49.634575510, 8.631438930, 154.1344
1641245601.1288893, 49.634596335, 8.631450465, 152.2294
1641245602.1081355, 49.634597956, 8.631459981, 151.7234
1641245603.1166885, 49.634599626, 8.631463598, 151.2257
1641245604.0944617, 49.634600367, 8.631463437, 151.1334
1641245605.11261, 49.634599686, 8.631464694, 150.8964
1641245606.097026, 49.634599903, 8.631465772, 150.6319
1641245607.1357892, 49.634599748, 8.631465450, 150.5074
1641245608.0985677, 49.634599516, 8.631465246, 150.3804
1641245609.1373332, 49.634599319, 8.631464999, 150.3168
1641245610.1164536, 49.634599186, 8.631464981, 150.2921
1641245611.1298106, 49.634599121, 8.631464835, 150.2900
1641245612.0973456, 49.634598855, 8.631464686, 150.2609
1641245613.135817, 49.634598470, 8.631464545, 150.2354
1641245614.099005, 49.634598280, 8.631464748, 150.1459
1641245615.0979319, 49.634597800, 8.631464688, 150.0796
1641245616.0960298, 49.634597329, 8.631464555, 150.0230
1641245617.1039505, 49.634597043, 8.631464810, 149.9520
1641245618.0971289, 49.634596803, 8.631464805, 149.9255
1641245619.096596, 49.634596749, 8.631464846, 149.8689
1641245620.0947933, 49.634596619, 8.631464688, 149.8671
1641245621.0876653, 49.634596619, 8.631464816, 149.8793
1641245622.110839, 49.634596633, 8.631464772, 149.9101
1641245623.084953, 49.634596608, 8.631464889, 149.9077
1641245624.0831404, 49.634596644, 8.631464979, 149.8890
1641245625.096729, 49.634596595, 8.631465025, 149.8745
1641245626.0946493, 49.634596448, 8.631464916, 149.8697
1641245627.0887973, 49.634596360, 8.631465006, 149.8623
1641245628.1125095, 49.634596232, 8.631465122, 149.8285
1641245629.1054618, 49.634596141, 8.631465293, 149.8143
1641245630.1136205, 49.634595999, 8.631465395, 149.8076
1641245631.0928204, 49.634595781, 8.631465585, 149.8213
1641245632.0856915, 49.634595646, 8.631465764, 149.8351
1641245633.0991244, 49.634595582, 8.631465903, 149.8611
1641245634.107267, 49.634595458, 8.631466088, 149.8946
1641245635.086486, 49.634595356, 8.631466148, 149.9234
1641245636.0949392, 49.634595171, 8.631466202, 149.9373
1641245637.0931134, 49.634594964, 8.631466181, 149.9513
1641245638.0863197, 49.634594747, 8.631466127, 149.9524
1641245639.0863526, 49.634594607, 8.631466045, 149.9622
1641245640.0942562, 49.634594493, 8.631466045, 149.9772
1641245641.0927017, 49.634594341, 8.631466083, 149.9956
1641245642.0910723, 49.634594209, 8.631466091, 149.9924
1641245643.1007054, 49.634594128, 8.631466214, 149.9862
1641245644.0934255, 49.634594084, 8.631466278, 149.9875
1641245645.086228, 49.634594089, 8.631466312, 149.9858
1641245646.1094913, 49.634594099, 8.631466384, 149.9882
1641245647.0941012, 49.634594099, 8.631466491, 149.9869
1641245648.088932, 49.634594044, 8.631466713, 149.9887
1641245649.1087413, 49.634593927, 8.631466856, 149.9983
1641245650.0863698, 49.634593736, 8.631466912, 150.0025
1641245651.085668, 49.634593539, 8.631467034, 150.0007
1641245652.1038723, 49.634593394, 8.631467157, 150.0059
1641245680.9595344, 49.634582355, 8.631471903, 146.6593
1641245681.2766776, 49.634582355, 8.631471903, 146.6593
1641245682.1689858, 49.634576604, 8.631499098, 147.5502
1641245683.117315, 49.634584502, 8.631461107, 146.3465
1641245684.1518843, 49.634585461, 8.631457466, 145.6030
1641245685.11447, 49.634586523, 8.631459169, 145.5811
1641245686.122675, 49.634587125, 8.631459592, 146.4040
1641245687.0855734, 49.634588580, 8.631461525, 146.6356
1641245688.1257646, 49.634588350, 8.631464205, 146.5091
1641245689.0832124, 49.634588596, 8.631465281, 146.6305
1641245690.1218092, 49.634589525, 8.631466692, 146.5461
1641245691.0944386, 49.634589607, 8.631467219, 146.4264
1641245692.1193547, 49.634590137, 8.631467793, 146.3551
1641245693.081774, 49.634590521, 8.631468522, 146.3070
1641245694.14062, 49.634590948, 8.631469126, 146.2337
1641245695.0830114, 49.634591467, 8.631469185, 146.1629
1641245696.1250641, 49.634591637, 8.631469001, 146.1112
1641245697.0825322, 49.634591908, 8.631468907, 146.0776
1641245698.090705, 49.634592005, 8.631468555, 146.0404
1641245699.0890453, 49.634592085, 8.631468066, 145.9904
1641245700.093909, 49.634592212, 8.631467405, 145.9829
1641245701.1023858, 49.634592259, 8.631467196, 145.9538
1641245702.0853972, 49.634592218, 8.631467104, 145.9511
1641245703.0784447, 49.634592219, 8.631467038, 145.9940
1641245704.0832503, 49.634592094, 8.631467077, 145.9983
1641245705.0767522, 49.634592187, 8.631467034, 146.0179
1641245706.0850253, 49.634592265, 8.631467334, 146.0587
1641245707.0782871, 49.634591948, 8.631467593, 146.0648
1641245708.0830724, 49.634591982, 8.631467938, 146.1632
1641245709.096446, 49.634591779, 8.631468403, 146.2819
1641245710.0946875, 49.634591681, 8.631468811, 146.3716
1641245711.0927181, 49.634591537, 8.631469059, 146.4715
1641245712.0872166, 49.634591108, 8.631469430, 146.5578
1641245713.0808692, 49.634590856, 8.631469611, 146.6742
1641245714.0791147, 49.634590625, 8.631469871, 146.7602
1641245715.0925853, 49.634590352, 8.631470272, 146.8511
1641245716.092359, 49.634590148, 8.631470468, 146.9488
1641245717.0853982, 49.634589894, 8.631470644, 147.0377
1641245718.0835865, 49.634589615, 8.631470776, 147.1205
1641245719.0918212, 49.634589386, 8.631470748, 147.2491
1641245720.0811656, 49.634589156, 8.631470585, 147.4082
